x1;x2;x3;x4;x5;x6;x7;x8;x9;y
210;1,93;60;42;20,54;73;16,7;11;27,7;25,49
235;1,93;180;30,3;15,24;61;10,7;5,4;16,1;15,92
450;1,93;60;30,6;15,61;63,5;11,5;6,3;17,8;15,23
390;1,93;240;41;16,63;71;8,3;8,2;16,5;16,31
0;1,93;360;43;19,63;80;14,5;19;33,5;27,66
525;1,93;420;26;14,92;57,5;8,3;4,5;12,8;10,91
170;1,93;240;42;23,39;90;20,5;42,3;62,8;35,45
0;1,93;180;37;17,12;67;8,3;6,5;14,8;13,95
125;1,93;60;38,5;16,66;68;16,8;10,5;27,3;24,51
85;1,93;360;41,5;16,42;68,5;6;5,6;11,6;8,65
465;1,93;300;40;18,51;72;12,3;8,5;20,8;17,49
215;1,93;120;43,2;23,02;83;24,3;21,5;45,8;34,66
10;1,93;120;34;17,85;70;7,5;18;25,5;24,22
120;1,93;60;37,5;17,84;72;8,7;5,5;14,2;12,65
145;1,93;180;35,7;15,45;63;9;5,5;14,5;14,65
200;1,93;180;37,3;16,58;63;12,2;5,8;18;18,01
310;1,93;45;36;15,38;72,5;12;7,9;19,9;19,71
205;1,93;300;34;17,1;68,5;14,8;10,2;25;23,55
285;1,93;240;42;16,41;70;9,2;10;19,2;18,8
600;1,93;420;37,2;18,45;68;14,8;10,8;25,6;21,7
135;1,93;120;41;17,98;72,5;17,2;7,9;25,1;21,92
100;1,93;120;41;20,05;75;18;13,8;31,8;28,4
440;1,93;240;47,2;17,77;75;9;5,5;14,5;11,35
360;1,93;180;26;17,47;60;10,5;7;17,5;16,25
260;1,93;120;34,5;16,87;65;13;4,8;17,8;15,53
245;1,93;240;45;18,03;75;8;6;14;10,85
225;1,93;0;48;18,75;79;10,6;11,7;22,3;18,44
70;1,93;240;48;18,75;74;12;9;21;18,06
300;1,93;120;38;16,45;64,5;5;6,5;11,5;8,94
295;1,93;120;47;19,56;72;17;9;26;23,39
0;1,88;180;74,1;26,25;74;14,8;11,1;25,9;23,52
380;1,88;180;34;16,86;68;8,5;7,2;15,7;15,24
150;1,88;180;32,4;18,6;69,5;14,2;7,7;21,9;20,11
320;1,87;300;48,2;19,31;78;14,6;14,9;29,5;24,38
